sin,cos,year,month,TF,ZW,STE
-0.5,0.9,222,12,4.59470935558356,-0.08291941893043199,-0.6294861511329888
0.0,1.0,223,1,5.842153298436008,-0.054515089733947905,-0.4450295716382945
0.5,0.9,223,2,7.601840619872424,0.060675522457938544,-0.1971463715787247
0.9,0.5,223,3,8.055505861870634,0.06968134934708929,-0.0780532378929969
1.0,0.0,223,4,7.872962255859311,0.010830956497441348,-0.0772159250269611
0.9,-0.5,223,5,6.260058010257714,0.008957594203201915,-0.1288006379229667
0.5,-0.9,223,6,4.970160437587093,-0.09497307340449912,-0.0930488284497234
0.0,-1.0,223,7,3.91239790707702,-0.07163788529465788,0.0232249173711858
-0.5,-0.9,223,8,3.924062625898489,-0.014215911178313228,0.225937143641362
-0.9,-0.5,223,9,2.817338014424101,-0.012938193021460688,0.2964899069004224
-1.0,-0.0,223,10,1.124537329675945,0.0780385731022208,0.4245541209649249
-0.9,0.5,223,11,0.4427294521900878,0.002433499600927414,0.3460627546442308
-0.5,0.9,223,12,-0.1790690661658401,-0.08492731433348073,0.2216086538330679
0.0,1.0,224,1,-1.0632020054601772,0.065079392913291,0.2010145079680412
0.5,0.9,224,2,0.8071273160319616,0.175304271179277,0.4950515065127867
0.9,0.5,224,3,0.8048975632988177,0.138082327351971,0.7134181809245171
1.0,0.0,224,4,-0.4450706756662576,0.11743820376846949,0.8183096841534534
0.9,-0.5,224,5,-3.089383557298798,0.07554652535786423,0.5975845886277015
0.5,-0.9,224,6,-3.748923935721889,-0.004752820841240754,0.7220472484789752
0.0,-1.0,224,7,-4.223245021938457,-0.0600774444617846,0.5189209689056307
-0.5,-0.9,224,8,-4.981341907394113,-0.021411545638518808,0.0505610384064641
-0.9,-0.5,224,9,-4.7130065561696535,0.04209213587242754,-0.3545436921320203
-1.0,-0.0,224,10,-4.296373007028332,0.05131830021650024,-0.3627926070488534
-0.9,0.5,224,11,-3.900275524904471,0.019745649401814357,-0.403545913653145
-0.5,0.9,224,12,-1.397441195826637,-0.0371481078116943,-0.3163625181039624
0.0,1.0,225,1,0.6467577968365344,-0.050699278131135644,-0.4886361908354684
0.5,0.9,225,2,2.6591982786828976,0.030554069178341813,-0.4786910970626714
0.9,0.5,225,3,3.540706648586956,-0.03511179896829815,-0.5113542029021394
1.0,0.0,225,4,3.908240742417601,0.050957286931797637,-0.2752803093418406
0.9,-0.5,225,5,5.165794238826545,0.05954470370969437,0.046166499545604
0.5,-0.9,225,6,5.301976850039484,-0.09284927930688121,-0.0571897250553049
0.0,-1.0,225,7,2.424864626522558,-0.04577081179115807,-0.0485075534339896
-0.5,-0.9,225,8,0.9743319960610668,-0.0612315689527613,-0.0864865238780882
-0.9,-0.5,225,9,0.156884641245825,0.008356289923912926,-0.159241110387456
-1.0,-0.0,225,10,-0.5317696879323305,0.04044971749916348,-0.2939742976765274
-0.9,0.5,225,11,-2.173612863995169,-0.059240512444294,-0.4057148195384842
-0.5,0.9,225,12,0.2123467891700742,-0.004591783893103107,-0.0480321039894962
0.0,1.0,226,1,4.281652114312512,-0.13939793514587986,0.0413638574917547
0.5,0.9,226,2,-2.622087429715476,0.005398864859223795,-0.4080298914857638
0.9,0.5,226,3,0.1929579603732029,-0.00541189040633874,-0.2093217978539834
1.0,0.0,226,4,3.564919965054002,-0.05008575570046112,-0.3301375613139377
0.9,-0.5,226,5,3.9034185421618313,0.002523620283855349,-0.2859200376054312
0.5,-0.9,226,6,3.740826421804425,0.047237368277853284,-0.3341706692034777
0.0,-1.0,226,7,4.717990292293156,0.018264217314740615,-0.1023206078440431
-0.5,-0.9,226,8,4.83496527854698,0.08000799958989124,0.1081216411550565
-0.9,-0.5,226,9,3.684238450134444,-0.1076857001829449,0.0284368605535312
-1.0,-0.0,226,10,1.9727938432368648,-0.0026536994968154926,-0.1192306102715337
-0.9,0.5,226,11,1.8430268156162088,-0.019007684428840366,0.0116674346383418
-0.5,0.9,226,12,2.667459821428956,0.02741347190342597,-0.0619014087598625
0.0,1.0,227,1,4.281652114312512,0.04998302316918608,0.0413638574917547
0.5,0.9,227,2,4.731551373861048,-0.09524373092700872,-0.0416041477413769
0.9,0.5,227,3,1.37787206666422,-0.014196692104483693,-0.2183093264951194
1.0,0.0,227,4,0.5929787209595643,-0.03018849882072107,-0.0877859901753142
0.9,-0.5,227,5,0.4606898713751277,-0.023654265632783774,-0.1355471363647005
0.5,-0.9,227,6,-0.1066363442250855,-0.06670900557171168,-0.3507995618450241
0.0,-1.0,227,7,-0.5856755522420659,-0.07273937724146466,-0.6793561487917027
-0.5,-0.9,227,8,-0.2513567141304797,-0.03629996631241245,-0.758005862324182
-0.9,-0.5,227,9,0.864923303596427,-0.14151875849373638,-0.6555492890323733
-1.0,-0.0,227,10,0.9850795295075142,-0.017293073168370903,-0.6493563534662471
-0.9,0.5,227,11,2.214535296480788,-0.05610391988315337,-0.7672960449852425
-0.5,0.9,227,12,4.3091531337974525,-0.04362095201694611,-0.7675935937535513
0.0,1.0,228,1,7.605501779368224,0.02638822514850602,-0.3500304639948646
0.5,0.9,228,2,11.39284003718275,0.03568937245892849,-0.146739925690147
0.9,0.5,228,3,9.829452493168615,-0.005664331730799483,0.0413721918474537
1.0,0.0,228,4,7.040428363190789,-0.0035891822824521357,0.0503023004321863
0.9,-0.5,228,5,4.682752570897302,-0.022279860887694757,0.0009187837329055
